relay,bandwidth
098D9CF7568D27A8288FA4BB3819A99913315D6E,139
0990E0F4F2C127BDDA9B6726400FAC077F6C83B0,3880
0995CB06655B4AD50689F4AB303764CD717C258E,246
09A70E396DE93F54D4541BBB0EC8E2B23761F34F,58000
09B17D1CA0E85D9AC34D8BAA7FAADBE08EF7891D,1
09C2AA312AE0DDDF4C5E57CB1BE24158A5408590,4600
09C9843ED0F447460B1491D9237B41AE822DE376,74
09DCA3360179C6C8A5A20DDDE1C54662965EF1BA,17400
09DEA9A672FDEF38CE01E3F453E7D7CD0707E7C6,2480
09E530B2DEE956E4A79B09E446334987D7C2CE1F,28000
09E7AB06A399B7E1B2DD16FCB37C696C5537138B,490
09F3067452D8D1DAFD33D0524A41DBF5295D3472,7700
09F64E00F34C88F604163F24D37BEAF9245702EA,7680
09F73B74D7CA09FE553F23E243FE2AE20BBA7123,3600
0A0071E88F876E44B1DCE848FDAD115E65954CAA,205
0A0C01DD0044E70318D9E3DA5F125A09069C57C1,2890
0A178D302936F209AF3DA77CCC4E3C4D5DBE11E9,8230
0A1C149E2FB69DB0F4F4B94704B930645838144A,3400
0A2151C0492B8A17FD03ED40598627A7027AE39B,3240
0A2366980A2842D770EF8E136A7DA14876360447,59000
0A3AAF530747D7034DBF88C518033A22827E3C46,4880
0A3C9EBB64EE062AA170BB9BF2B84FFB02DA88C9,0
0A4ED4C74020740A904F3A9936030B7A4C6170BB,40100
0A5000E5FF2977E0D236B9F5B47590D8888494DF,6100
0A592CE8A53AECDF9130D37245C6460B238728DF,11000
0A6001B1E3A9F5365BD3C2988BD69BB8EAD71289,750
0A62783377F9273A32BD4C7E0D5E3DC5DC651051,38500
0AA39F432B2E778CAC06F80DA44975385347CDD9,1900
0AB05FC63CF9AC7070C1D89BB1A1189C319E1A92,3200
0AC4C4D8BCA8DA7BAE6BE3FEA87442E724353CBF,2000
0AD5DC3C47CAD362E5682F7FBD5E2E28B2D49899,2380
0AD8C15B930AD1F332B1DFFA3779B7D41B45DBE0,176
0ADFD413DE5F516547835549E7C4DEB9B5547911,1800
0AF90285D6B3ECC52ABFA3CB31404DF6FAF93134,8200
0B0EB202D5426A6AAB4617C56696F20D7D97E528,566
0B19BBFDC498CCEA23027B1D7BD8E20121B95E60,33000
0B261CBEC97CAD7C19E5005BB1430153E278E337,334
0B343CDB8934729DC91B1CAD7BD2D05F705E90E0,6000
0B37EC8BE844F5C20E5B84A885608DE0C7DBEA47,3430
0B399D07E879C2B44783A6AC1982FB33FF3CA603,26
0B3C8C2B2B1A1CA4429B9649F533BEB4D7470AEA,52000
0B45375A2CE8065E8A649D52CC35F39D128745A8,5260
0B4E3C54AF4566E96666728B8FFD1B6B4CB568DF,1500
0B555940D37DC849728841C0B290074E1A1BDCA8,49000
0B56CA63AFD1E865C3508585E14A9DE760B145AB,122
0B5BC76B3BE7553B229FD3E73F26AED41C31DD19,4200
0B5E5E70FFEA9C7F9FFD13B8E16916A608F3E9EB,32000
0B841CB70F9ED1FD0322C2BA2EB0D80420D87CFA,17900
0B88C0F5B40BA3507AB8962478E1DA6704A09E83,12000
0B97BDD6166359CF1F71D16B48764A277733B81D,2200
0BA30A3D11B73F95D1447CC9B35BE5F0681D5A1C,42
0BADD9510440C9BF3A728F2CB630836FF98142B2,1150
0BC6B7173256CA877AA72A8B6C359C9E29BE71C6,952
0BC8BA32CC3CB0F598E0C92778F7C0946DFBCE91,8150
0BCCF364C4EE7338B6E920E63E951922C85F91F7,5710
0BD524A66A928A093AD1ADD79AD24C5DA6D805CE,2730
0BD744C4674FFB60CD1F2A6E877B02F7BE4558B5,19
0BE9C6533F14FC329034B985542E00ABB103A5F8,1500
0BF606DE836D4C794CAFF7CA78720F8C87660998,9300
0C039F35C2E40DCB71CD8A07E97C7FD7787D42D6,12700
0C0B0F5B45D61A7ED69D4697B0F4C1CFC9910085,245
0C3599079EF21C4994AD6DDE91F72A48F16E8A98,170
0C3D5E19E3C75B505C8ACD26F89DCA2DF970553E,50800
0C475BA4D3AA3C289B716F95954CAD616E50C4E5,21400
0C6842CCF836DE08EFEA0BD6C1471AE3463B9B71,8740
0C6CA58153400FA077EABB14773E36FD61BF0D75,22600
0C8A49FE62B7C7DED64B7C6A941EF5240E4F3F74,27500
0C8CDE060281DDA38F69F1765049D16D9DE9320E,65100
0C8CEAC0471CE3771025C68309305F78C30E715D,13100
0C93559D6D7E95B41561424345B0B176FBE66F00,9800
0CA3F4D95BCF24964FC4623588A3F17E2EE216DE,14400
0CAB5AD279059C1ADCD96FD8A031DEFEE69F91FA,8
0CAFFFE470E88AF156D6750B616995B3790F24EF,471
0CD62346D1B5CB1648DDA907F818B0DFEA752E88,11300
0CDC8FDD8A487271DECB791C0D46585F16BC8F19,252
0CDCFB0B6E1500E57BDD7F240543EBAEF81C11CA,9680
0CDD60E4015EBF2C3B5D32A2B9CC8FE6C98A5C33,2810
0CE3B73DDFF92FF6653A9C7F9003A32BB6C2364D,5300
0CF8F3E6590F45D50B70F2F7DA6605ECA6CD408F,11100
0CFC3C013E3C49587843796106C5E3AD093F55FE,55
0D12D8E72DED99EE31BB0C57789352BED0CEEEFF,40300
0D13FEFB150903100AF2F9E52A5852EC105A817E,5040
0D1AFA787BDE4E0A08EDD2AEE461E1F090A24620,50
0D2DE242ADA0ED77325E3AEE3A9D8C5CD07C2CF3,26000
0D364448C8E55D5A89AF19AF4399AE559ED82759,132
0D5BF9C0B7B3605A610EEE2C43AEAE366576CBC5,64000
0D5D46552707EE3B8D209F35B9078EEF1787C3C8,171
0D6E25BD8C540178C309EE2A84C7A74496360D6E,5100
0D704A47A6D3559D8D15D5DB943FE24A1896D1F7,10
0D7939C968334E6FD0DE1270507EF56EC4318A77,52000
0D7C69551F9186DB589BDF00858314AC136A33DA,33000
0D81BA02F28C158A7792F77E842AE87B8C7F5F7B,1200
0D83B8A5937F6938C74F326C21C21959F395E825,1
0D8877392F2FF5AD8D8E5BC438087F02EF97B904,6
0D8BE62D326A0724ACED81E264B65E3731AD7AAD,1200
0D8DE7848CC678234B05B6C5A7F27F079C786636,172
0D94FC7D2CFC74C13AB5C9D7040F4874E89E260B,2900
0D99F89BBB92BF5557F8D3F895DB218A72871089,42700
0DB061CA620A1B9AD80983D911A419D4A6747625,22900
0DBA891A70AE95D4AD77593A936E6C04ABF2E7CE,118
0DD04EF0B081BBFDE3082D4ECC8A63FD0022FCAF,12000
0DDC190D45A6C452F6814408284DDF7DA8175006,552
0DFFE5D2846C53794E9C4BAB7A7D6BDAC073285B,6540
0E2EEC125A6AC8D5EBF5DB36B776A3DA5510E7A0,55000
0E33658E72D2715E4F226973FCE8A104C5875E44,33
0E41652F443218E41D8484906A55A945E2388ECC,0
0E41D0FD4A5121A736326A812B5188BF97C36CE2,5460
0E452A30E7E05744071678E0A059BDDB468930CD,9
0E5522CB4F79E36C0BB263BABC861CFC686929AE,35000
0E5D730466E5BB675BC9704C374DBE7E19F06165,2040
0E833719031D4E0BE04786F7907B9F4A70BE1C4F,225
0E86EF29BD3BDC26DF86A705381F965624DDD76A,16
0E8FD4368083BD7817A42F3ECEDE86DFE3C35958,4200
0E9129CF568D49D15A0A30E0CAA940AE198A3547,5
0E92BF02B3C11B0DD18301A0DE1B164A0546E36F,4700
0EC4025AA4B4E2074F41CB1860EE567DBCF702D9,15000
0EC8321560B5E754F2DC290E1EE2EAACD221088F,3400
0ECA512754B9507F8F0F5538A8DDCB424FBADF08,57
0ECBB2D9167A3B9EB580650699BFCE051884AC57,11300
0ED06F12AF64D5027422169B61D1AC5366C6FFE9,378
0ED0EA324C931CF41CB5272BFB1D015B3D5772A9,72500
0ED4CA8A8E6CE2D28D6D23B20815AE3982646FCB,15700
0EF99182CB04B14A718EFDFCC0FA3528ED486AB5,34000
0EFCD761770F9207A23E98D2C4860C6FCD9176A2,806
0F347A8FCC1973EA15D0052B33E8D591D3DB90D6,590
0F3B1BCB42C0E688D4A45887EFDD762B8D2F08F9,1850
0F45FCAC70DA935F5367A9B94264D1C46707E947,1
0F5CDA229B6E9DAF055171783981545420666DC4,25000
0F6033F8B4B2619EB8121CD10CC69B0E0E635A64,23000
0F631766C5A72D586E807B7F7B455811F1FBDB5E,57000
0F662779B1E48F5F17EA4B94FA414250E0919C16,30000
0F6A04276CB95D042AEE8D28B745878F827D210D,58
0F6E5CA4BF5565D9AA9FDDCA165AFC6A5305763D,27000
0F79EB2316D6BBCDE094A42567D2FA44CD649E38,9680
0F7FC8A71C9EB70F497297FDADD1CD3B038C99AB,23400
0F85E6DB0E4A3B6FDDF7C9452C9B5D089B11979D,7000
0FB07690D64CE5C22B5175183C0E59678CDF7EAB,93
0FB2EDAB99D10A2B708370E625323C76EB895FA2,52600
0FBAA1780975FB8283DD5F502E4FD47E959297BC,335
0FBB3C61AB6D93E10ABDE69EB8CCC60518A8BF3A,28000
0FBB68AD3B190355DCB2EEB0E6DC815D810E46C5,2200
0FC12F2B7DD0E94930F9B3CDD321308996652957,45
0FC8B925C986697D41C1B150ADC78BB2D2E50FCB,10
0FC9E990407ABB90EB5010313125B30DDCF6366E,2900
0FD0439B43B6FC2EC36C090BB1143CD927719D16,8610
0FD48DB21166F094AB06E3E422F6E435B4D50B05,542
0FDC9A7D60608123CF5432F6E25C6E4BC23E7938,14000
0FE31E8B143BCA123905993356D1DE49C715E455,28000
0FE5A9C69C0C0C26876E2CF6949ED8D796242B44,5300
0FEEDF419BE897E746EF7A204997C495FC815E42,7120
0FF233C8D78A17B8DB7C8257D2E05CD5AA7C6B88,42400
0FF7D03AC5F31F93E3AE11ABF74313D071E11ED3,8070
0FF9E71478E9B35216D92F73A54969853EB5D4E9,12000
0FF9F882501FB1D610522DF6AAD6E75C95F8F2B8,1970
100267BCBA4CAFBE911C7A88EE37B3BFE3CD70AF,314
101019A1ADEC4BD50C55D63ADACDF47710CB11B5,325
1019A42C8655F263DF95DAAFA8314591D152A2E2,11
101C18886B30BB23B36CBAAD159261188852E112,2840
101EEFBFCEC4869BA96C0E6AD2B6BBE696D98477,11000
10231E08F19C03D5A2FE3AAD03D863ABDE2081BC,4730
10251A6CFE91A3948D995AE39460FA6D12A2FDC1,1000
102AFFF42A8ECE310F23B80963093BD1AD5EA5C4,127
103336165A0D2EFCAD3605339843A0A7710B8B92,27700
1034775A01EA629979D0A601EC85FDF2F584CC45,19000
10417B989075D0481C8687351AA96118ECC68AF3,16
104D9F6CE16EF525B994FA6595E0023F8C6A4E08,11100
1050FC79C5F1103B185300EF72DDF5B4EDC683C9,40000
10644CF3D7F555F10FE28EB1D520111F56FE7180,48000
1079E628FC6B0025656AC024F2D9975C441498CD,41000
107E330E8FDBB06108BD4A2BB50C6907758BC204,41500
10805A3833774B812D07EB7D1D75A54021590F56,577
1084200B44021D308EA4253F256794671B1D099A,43000
1096D71C2EA45A68E4D3A375CAE590FBF349DEAB,726
10A1E225A56E02F66011BEA3CD51D9F694D22913,2680
10A5EFCCD2FB9C1A4AC20FB779A5DB11B58957A7,49900
10A9C1EC3BCC85C209767E374D93A6CFF5F22CA2,43
10B689D11CDCB8EB74BF394880508C975058C608,69800
10CA859C429A17EFF704CC53D0080940148D59DA,18300
10CB5A2622C434A2855D14F6446D58C5BCB40650,8400
10CEF0F16054EE2BE1DC8047D738FCF232282AC6,8700
10D219897E4F2594AF1EC01C414C2E3754ABA5C8,6800
10D5A1CC50849F63A91B3DF8068F806EE3532541,4800
10EF2F97C8D4CC9F77693C92CA88E2115C46DB70,2500
110D1399C937A4B4CFCD1B6B0948743A59FDFC8F,3210
111883B90C7B5243BDBEBC3779A61B1488E758E2,5900
1119A89E729DB65839FB232A1E0F8669B0AE84DF,7350
1128FE7D0EA5B3392979F3B93B120140F3F2DED3,15000
113143469021882C3A4B82F084F8125B08EE471E,6780
113363FBEB308C8A6B8979812C5B26CD12143441,1450
1137AB1F84EC2D52DFB1915717F14FF1A10EB392,9200
1141E369B54D5C9F5E0141EC966BE4C8785489BC,5
114F6F2A3A6E8AB9AC2BD54B8C5A204C1CA5942B,12600
1168319908982C28321B9D5F5E52DC0C6F048E90,998
117985DC0F1F98A4A862DE76ED5CA007B65C14AC,10
118496882F58E787DC24F5C219B93F22BA5820D8,12000
1188DC549FDF5E8054E1FE8C789A632CD1872F7E,17000
119E566B3D747658908EA00F336F4E158AE97AAD,21000
11AA99B76B465333441E3000F477995C70499B92,39
11ABDB4D0B944F186A898560CB82C70439957DCA,62000
11AEE567D24CDE680AC78BCD6EBAC36C50B3CF49,1870
11C3D14A1166AEDED6D247A32DE6451F6C95223A,13000
