relay,mean,variance,standard deviation,mean absolute deviation,median absolute deviation
1C1C5C412235E5CE0B4EEAD6169583231FC14E57,0.6542021254698436,0.012300336638092798,0.08409755183497213,0.058915532032648675,0.0503528880655765
1C24A2669C7E0D62B2157B95F56ED00EE307C85C,0.27103497982025143,0.004987713023471819,0.04548373760965691,0.03461674880981439,0.020346573879718742
1C265471CAAB20F1D3EFBBB6D6648E060E7F75C4,1.337832578023275,0.01710968595325212,0.11592842435521926,0.0762479948997497,0.050296611201763104
1C2F0929A4A8D9661D83E70FDE96B61040ECA14D,0.2196902016798655,0.0008163693652444167,0.027329795684060226,0.020574107170104917,0.016404182946681934
1C3C4AEF036D1202EEC623228EBA5FB71931E2A3,0.8179721295833587,0.024268401209732147,0.11641332102483841,0.08633859872817988,0.038067785668373065
1C4147BDE31ED65715FE1CF088570E145BF46AA1,0.4790967204354025,0.041907816494999826,0.14825766475297167,0.11483638156544078,0.08839839783798559
1C6D92AD122615115DDBE8091787B058740B3C47,0.6602223078409831,0.0043345397341045585,0.06216266548581689,0.04019704620043433,0.02593654990196223
1C7215BC0123DDA23BDED0F9D2849D3AD80183CB,0.2460272808869679,0.0006488931718612885,0.02375800193881726,0.016145420471827137,0.010674208468198734
1C76BC8486466A350BBACFC06652A6BA5C068AB8,0.23534836769104003,0.00081356771761508,0.027428612280524678,0.01670867156982416,0.00937119802951806
1C76E132B97EF0A03874647DE65BA7483469C27B,0.3241047143936157,0.0023252775078670077,0.043073359525225535,0.03007222334543859,0.016730120396614024
1C7700A94DBBFECFA234C1ADD0D23FB87D1D7599,0.25699200431505836,0.0012731164520630334,0.032917437789065536,0.02372449914614355,0.021235008966922722
1C7816BC7936BD955322BD9402855B288CE3C936,0.22076060970624287,0.001966097276292835,0.032161763827419705,0.022861062685648557,0.013073243600130041
1C79261551E0F938A0D3959E1F2D74A4B48263FA,0.3761912008126576,0.002318105170733983,0.043254836948951325,0.030466194947560577,0.023843465906381547
1C79D5A473214714A761C0A40DD2D5B031F7E980,0.3662121097246806,0.008456144817694591,0.05910078075368617,0.042567824522654174,0.025847649836540157
1C7D71A2581DE79C5CFC4ED1FF75D5BE30F01BB7,0.30679846893657337,0.0027907330796553,0.04745407571396956,0.035780667391690286,0.03523967744220382
1C84C89198911D0C8962AA65C3E4E6530075396E,0.4643218457698821,0.0662241091163414,0.11687943881328877,0.07521359880765277,0.03348501380681987
1C8B3C3D8BC705883B7799C915B2FE1E0FEB006F,0.22455980579058324,0.0008208672777283168,0.02663290559543553,0.019484658241271925,0.014870701003074601
1C916E9F9247FFC63E9011154508CFF7F6A002B2,1.2521074354648591,0.020156980980404575,0.14115061345234317,0.09255596280097955,0.020369868171215003
1C92EA9DFA9E277FA6F023740BE30AD6736D026A,0.8402935266494751,0.043202588235100314,0.1420980011121207,0.0995192492008209,0.04943596253991122
1C99D98D9ECE41D85EF35F0AD2785E6ECD2F6CDA,0.8995118188858031,0.0246204366329001,0.1413453862986665,0.10244764804840086,0.07442077214241025
1C9DFE4455251AC93E3A628F93BF2B9ACC0956D6,0.3629198908805847,0.00563856982874041,0.05921285114649487,0.040720874309539745,0.031924791147708825
1CA6E34E762AB5550FBB254A7C7BD874F1550710,0.2560428738594055,0.000628034834368375,0.023116936769064015,0.01660497705141697,0.01386360877752299
1CA811478AB30F5DE80825E15F95AF18DCD32B2F,0.2376235151290893,0.0005804341457358801,0.02360609767234958,0.01623090076446526,0.01012301333427426
1CAFE6E87EE8BBA354DC5647C6E183D8B8AF20EC,0.707839020093282,0.0023741528703358416,0.046949097830114805,0.03217600981394445,0.016474407517909958
1CBA20ECB204FB968103CE5E5BA770B5ABD8AC4E,0.9124588827292124,0.008060741271972259,0.08466740935622669,0.06045785347620641,0.0412737258672714
1CBBCE8DBA28001D7037DD6E193EBFE0563FDEEF,0.343754498163859,0.004385216890552167,0.054072665184994484,0.03931423902511591,0.02329214116334911
1CD17CB202063C51C7DAD3BACEF87ECE81C2350F,0.9586436271667479,0.010797566145119076,0.08466261740827548,0.05877101103464758,0.03533568458557124
1CD48F4ED0F1821FFBF1940802A13EEFD4C27502,0.2716588695844015,0.0026392930313165,0.043007974957379486,0.030478285948435425,0.021818485605716656
1CDCB48F64E21D5ACAFE2471912E2E76F600EDFA,0.24877804915110266,0.0017842105090094165,0.03369815514026466,0.022049846251805564,0.013419329375028566
1CE8BF28779BBF4E700CAFCA253217BAF047DCA5,0.20714373191197707,0.0007119772145275665,0.02341993185136176,0.017430173556009884,0.01303506782650945
1CE9AB21F6A077CFD5588DC0868AC56AED5EA504,0.7675511737664541,0.006646336512238233,0.07731606171522006,0.05854474822680153,0.05049385269880289
1D04FF920CE804CE357FE62C665901C578BC26D6,0.27887602845827736,0.00173022616385935,0.03769676086156371,0.0268159715334574,0.023984739834070155
